,id,Recipient (video or comment),comment
108,UgwHcMhDM28VjUa-Pg14AaABAg,ooS0Hop_zhk,Don't trust an Romulanian
109,UgzovrAIKTO6ugBv5294AaABAg,ooS0Hop_zhk,My friend is thinking about making animations and you know what I’m sending to her if she makes a Rome inspired one
110,UgzovrAIKTO6ugBv5294AaABAg.9iWcrZMyjdL9iZFYclDQf7,UgzovrAIKTO6ugBv5294AaABAg,@Volker400 kool! I will make sure to ask her to put in credit where credit is due! This is my favorite of all! If you have an instrumental of it that would be awesome
111,UgzovrAIKTO6ugBv5294AaABAg.9iWcrZMyjdL9iX71ADvXcF,UgzovrAIKTO6ugBv5294AaABAg,"Your friend must have wanted to use this music, right?Yes, he can use the music for his animation!!!Thank you for your request!Best regards to you,Volker L. H. :)"
112,UgzK1xjXkwC9cfxnm8Z4AaABAg,ooS0Hop_zhk,"""Wait why is the stars playing latin-""(Gets annihilated by a Romulan torpedo)"
113,UgzK1xjXkwC9cfxnm8Z4AaABAg.9iPcu6D58pL9ifMj6nySRI,UgzK1xjXkwC9cfxnm8Z4AaABAg,Lol yes
114,UgxtFu_aYhRQAvatJ0J4AaABAg,ooS0Hop_zhk,Would you mind if I use this in my videos? I'm planing to do some Star trek online videos (with a romulan character) and this'd be perfect for bigger fights and victories!
115,UgxtFu_aYhRQAvatJ0J4AaABAg.9hh3wwF-JIz9hhWPs4Cput,UgxtFu_aYhRQAvatJ0J4AaABAg,"Naturally you can use it!Many thanks for your request.Best regards to you,Volker H.  emoji_slightly_smiling_face "
116,Ugx8H48Tt3S_S5NOEqZ4AaABAg,ooS0Hop_zhk,This sounds like something you’d see in a movie where the characters have just entered a big city and this is playing as the camera flys around the city
117,UgyMn8KIBQhI7PDyyQt4AaABAg,ooS0Hop_zhk,spotify plz?
118,UgzqldzRPrq4mK3Cuad4AaABAg,ooS0Hop_zhk,"The Roman Empire never fell, And went to the stars!!!!!!"
